StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_5_TEXT,Q2,Q3,Q3_11_TEXT,Q4,Q4_6_TEXT,Q5,Q5_6_TEXT,Q7,Q8,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11_1,Q11_2,Q11_3,Q12,Q13,Q14,Q15,Q15_10_TEXT,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current role in natural resources management? - Selected Choice,What is your current role in natural resources management? - Other (please specify) - Text,How many years have you worked in this role?,In which state do you work in natural resources management? - Selected Choice,In which state do you work in natural resources management? - Other (please specify) - Text,What type of organization do you work for? - Selected Choice,What type of organization do you work for? - Other (please specify) - Text,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other (please specify) - Text,What is your gender?,Please select your age range:,Indicate the perceived benefits (if any) from using genetic data in wildlife management. - Improved management strategies,Indicate the perceived benefits (if any) from using genetic data in wildlife management. - Understanding of population dynamics,Indicate the perceived benefits (if any) from using genetic data in wildlife management. - Enhanced conservation outcomes,Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Access to tissue/DNA samples,Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Data interpretation and analysis complexity,"Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Integration with other data sources (e.g., ecological, behavioral)",Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Limited expertise within your team,Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Time required for data collection and analysis,Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - The applicability of genetic data to conservation outcomes,Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Availability of funding,Indicate degree of concern (if any) for the following potential challenges to using genetic data in your work: - Accessibility of appropriate technology and equipment,Indicate your degree of trust and reliability of genetic data related to - Suitability for managing  wildlife,Indicate your degree of trust and reliability of genetic data related to - Institutional decisions in wildlife management,Indicate your degree of trust and reliability of genetic data related to - Collection and analysis methods,"In your opinion and experience, are laws and regulations about wildlife management clear regarding the use of genetic data for conservation?","In the next 10 years, do you think the trajectory of your organizational support for using genetic data in wildlife management will","In the next 10 years, do you think funding that is available to you for using genetic data in wildlife management will","What do you think are the most important training and education needs for effectively using genetic data in wildlife management?
(Select all that apply)
: - Selected Choice","What do you think are the most important training and education needs for effectively using genetic data in wildlife management?
(Select all that apply)
: - Other (please specify): - Text",How would you rate your familiarity with using genetic data in wildlife management?,What are the important uses of genetic data in wildlife management? (Rank the following options from most important to least important.) - Tracking disease outbreaks and gene flow in populations,What are the important uses of genetic data in wildlife management? (Rank the following options from most important to least important.) - Monitoring inbreeding and maintaining genetic diversity,What are the important uses of genetic data in wildlife management? (Rank the following options from most important to least important.) - Understanding evolutionary processes in populations,What are the important uses of genetic data in wildlife management? (Rank the following options from most important to least important.) - Identifying individuals for population monitoring,What are the important uses of genetic data in wildlife management? (Rank the following options from most important to least important.) - Estimating the age of individuals,What are the important uses of genetic data in wildlife management? (Rank the following options from most important to least important.) - Determining the diet of individuals,"Which of the following is a common method used to collect a sample of genetic data from wildlife?
(Select all that apply.)","Why is maintaining genetic diversity important in wildlife populations?
(Select any that apply.)"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_5_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_11_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_6_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID18""}","{""ImportId"":""QID31""}","{""ImportId"":""QID39""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_10_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}"
3/5/2025 7:25,3/5/2025 7:29,IP Address,74.206.67.236,100,212,TRUE,3/5/2025 7:29,R_3TRcjJDVkR3OQRq,,,,,35.6129,-79.3726,anonymous,EN,Wildlife manager,,21+ years,North Carolina,,State agency,,Master's Degree,,Female,45-54,Highly beneficial,Highly beneficial,Sometimes beneficial,Somewhat high,Somewhat high,Very high,Neutral/Unsure,Very high,Very low,Somewhat high,Somewhat high,Very high,Very high,Somewhat high,Yes,Increase,Stay the same,"Online courses in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Somewhat familiar,3,2,6,1,5,4,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 7:53,3/5/2025 7:58,IP Address,144.47.26.82,100,287,TRUE,3/5/2025 7:58,R_50o4wH0RMTJyQqT,,,,,25.9972,-80.3259,anonymous,EN,Ecologist,,21+ years,Florida,,Federal agency,,Doctorate,,Female,45-54,Highly beneficial,Highly beneficial,Highly beneficial,Somewhat low,Somewhat low,Somewhat low,Somewhat low,Somewhat high,Somewhat high,Very high,Neutral/Unsure,Very high,Very high,Very high,No,Increase,Stay the same,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Very familiar,4,1,3,2,5,6,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 7:57,3/5/2025 8:13,IP Address,155.206.84.198,100,969,TRUE,3/5/2025 8:13,R_3I5I5qDfBkxyW3s,,,,,39.2079,-76.9593,anonymous,EN,Conservation biologist,,11-15 years,Other (please specify),Puerto Rico & USVI,Federal agency,,Doctorate,,Male,65+,Highly beneficial,Highly beneficial,Sometimes beneficial,Very high,Very high,Very high,Very high,Very high,Very high,Very high,Very high,Very high,Very high,Very high,No,Increase,Increase,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Online courses in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Somewhat familiar,3,4,2,1,6,5,Collection of blood or tissue samples,"It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 8:31,3/5/2025 8:37,IP Address,159.189.241.73,100,321,TRUE,3/5/2025 8:37,R_7Md1K5xCE4Fq6pH,,,,,29.7748,-82.3846,anonymous,EN,Research scientist,,16-20 years,Florida,,Federal agency,,Doctorate,,Male,45-54,Highly beneficial,Highly beneficial,Highly beneficial,Somewhat high,Somewhat low,Somewhat low,Somewhat low,Somewhat high,Somewhat high,Very high,Somewhat low,Very high,Very high,Very high,Yes,Increase,Unsure,"Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Very familiar,4,1,2,3,5,6,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 8:33,3/5/2025 8:44,IP Address,98.26.140.6,100,657,TRUE,3/5/2025 8:44,R_7E1bQHDaqRdZCQ6,,,,,36.0344,-79.482,anonymous,EN,Conservation biologist,,21+ years,North Carolina,,State agency,,Bachelor's Degree,,Male,45-54,Sometimes beneficial,Highly beneficial,Sometimes beneficial,Somewhat low,Somewhat high,Neutral/Unsure,Very high,Somewhat low,Somewhat high,Very high,Very high,Somewhat high,Neutral/Unsure,Somewhat high,No,Increase,Increase,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Certifications in genetics and management,Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Somewhat unfamiliar,2,1,4,5,6,3,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 8:25,3/5/2025 9:08,IP Address,159.189.139.25,100,2552,TRUE,3/5/2025 9:08,R_72DcTK1ihGwenxb,,,,,30.0997,-91.9901,anonymous,EN,Other (please specify),Research Ecologist,6-10 years,Louisiana,,Federal agency,,Doctorate,,Male,35-44,Sometimes beneficial,Highly beneficial,Sometimes beneficial,Very low,Neutral/Unsure,Somewhat low,Very high,Very low,Neutral/Unsure,Very high,Somewhat low,Somewhat high,Somewhat high,Very high,Unsure,Increase,Stay the same,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Certifications in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Somewhat familiar,2,1,6,5,4,3,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
3/5/2025 9:17,3/5/2025 9:22,IP Address,47.32.118.3,100,345,TRUE,3/5/2025 9:22,R_68AmpQNCj0YWxmH,,,,,33.9461,-83.418,anonymous,EN,Wildlife manager,,16-20 years,Georgia,,State agency,,Doctorate,,Female,45-54,Highly beneficial,Highly beneficial,Sometimes beneficial,Very low,Somewhat high,Somewhat low,Somewhat low,Somewhat high,Very low,Very high,Somewhat high,Very high,Very high,Somewhat high,No,Increase,Increase,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking)",,Somewhat familiar,3,2,5,1,4,6,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 9:54,3/5/2025 10:06,IP Address,69.234.81.126,100,671,TRUE,3/5/2025 10:06,R_7meFMcop0TmiWS5,,,,,32.8707,-79.8029,anonymous,EN,Wildlife manager,,11-15 years,South Carolina,,State agency,,Master's Degree,,Male,35-44,Sometimes beneficial,Sometimes beneficial,Sometimes beneficial,Neutral/Unsure,Somewhat high,Somewhat low,Neutral/Unsure,Neutral/Unsure,Somewhat high,Somewhat high,Neutral/Unsure,Neutral/Unsure,Somewhat high,Neutral/Unsure,No,Stay the same,Stay the same,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Certifications in genetics and management,Online courses in genetics and management,Workshops on wildlife conservation genetics",,Neutral/Unsure,1,2,4,3,5,6,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
